CityID,City
1,LAKE MATTHEWBURGH
2,WEST ANGELA
3,EAST JENNIFER
4,LAKE PATRICKBOROUGH
5,WEST JACOB
11,JENSENFURT
12,EAST JENNIFERSHIRE
13,CHASEBOROUGH
14,OWENSVIEW
15,NORTH JUAN
21,GRAYSTAD
22,CRAIGSTAD
23,LAKE WHITNEY
24,WEST SABRINA
25,EAST EUGENESTAD
31,NORTH ALISONTOWN
32,PEREZSHIRE
33,SOUTH WANDA
37,WEST RICKYSHIRE
38,LINDSAYVILLE
39,PORT DENISETOWN
43,NAVARROBURY
44,HANNAHBERG
45,PORT LINDSEYSHIRE
46,SOUTH CAITLYNSIDE
47,COXVIEW
53,WEST WILLIAM
54,WISEMOUTH
57,LAKE ANGELICAFURT
58,SMITHMOUTH
59,NEW MICHAELBOROUGH
60,NEW PETER
65,PORT LATOYABOROUGH
66,SANCHEZSTAD
67,EAST THOMASTOWN
68,SCOTTVILLE
69,WEST JESUS
70,NORTH MATHEW
77,SOUTH JOSEPH
78,NORTH DANIELTOWN
79,SANDOVALMOUTH
80,SOUTH HAILEYFURT
85,CRYSTALTON
86,DAVIDBURGH
87,PORT KATHLEENVILLE
88,PORT MICHAELLAND
93,KARENBERG
94,ATKINSONVIEW
95,LIBOROUGH
99,SHELLYMOUTH
100,EAST JOSHUA
101,LAKE THOMASTON
105,HALEYBOROUGH
106,ELIZABETHPORT
107,NEW JASMINE
108,LOPEZMOUTH
113,CALLAHANSIDE
114,EAST DUSTINBURGH
117,PORT ALICIAVIEW
118,WEST OLIVIA
119,KELSEYSIDE
120,PORT SHANNON
121,SOUTH ELIZABETHFURT
127,TIFFANYMOUTH
129,ALVARADOBURY
130,BRYANTHAVEN
133,EAST SANDRA
134,WEST MELISSA
135,WEST RAVENLAND
139,JOHNSCHESTER
141,NEW JENNIFER
142,WEST PAMELA
143,MOSSVILLE
144,BRITTNEYSHIRE
149,NICHOLASMOUTH
150,NORTH JASONLAND
151,SUSANBURGH
155,PETERSFURT
156,JENKINSHAVEN
157,BONNIELAND
158,PORT MICHAEL
159,BRENTHAVEN
160,LAKE MEGANVILLE
161,NEW MATTHEWBOROUGH
162,ALLENVIEW
171,WALKERFURT
172,WEST VIRGINIABURGH
173,SOUTH KARENSTAD
174,WARDFURT
179,JONESFORT
180,LAKE TYLER
181,NEW ALEXANDER
182,SANTIAGOCHESTER
183,NEW JONATHAN
184,LAKE DAVID
191,KATHERINEFORT
192,JENNIFERBOROUGH
193,LAKE TARAVIEW
197,SOUTH GLENDABERG
198,ANDERSENBURY
199,NORTH JEREMY
200,WEST KATHRYNPORT
205,PORT BERNARDBOROUGH
206,LAKE ALLISONBURY
207,PORT GABRIEL
211,PORT NICOLE
212,KIMBERLYFURT
213,LAKE LINDSAY
214,SOUTH KEITH
219,BENJAMINMOUTH
220,NEW HENRYHAVEN
223,NEW ERIC
224,NORTH MICHAELMOUTH
225,EAST KELLYMOUTH
229,DUDLEYBOROUGH
230,EAST BETHANY
231,PORT GARY
232,EAST SARAH
237,ROJASSHIRE
239,EAST LOGAN
240,NEW HAYDEN
241,PORT CHRISTOPHERSHIRE
245,SOUTH JESSICAVILLE
246,GRIFFINTOWN
247,SOUTH HOLLY
248,SAMANTHAMOUTH
249,VICTORIAVILLE
250,NORTH JILLCHESTER
257,MARIOBURY
258,EAST JENNIFERCHESTER
259,NORTH CLAUDIAHAVEN
260,WEST HAROLD
265,SOUTH ALISONVILLE
266,VALERIEFORT
267,SOUTH CHARLESTON
268,SOUTH JEFFREYBERG
269,ARMSTRONGBURGH
270,MORANSHIRE
271,SOUTH DIANETOWN
279,NICHOLSONSHIRE
280,NORTH MICHAEL
281,KINGPORT
282,CONLEYMOUTH
283,EAST DANIELVILLE
289,JESSICASHIRE
290,ROGERSCHESTER
291,ROBINFURT
292,MCLAUGHLINBURGH
293,NEW WILLIAM
299,JACOBMOUTH
